dia_semana,festivo,hora_sin,hora_cos,semana_sin,semana_cos,linea_LÍNEA 1,linea_LÍNEA 2,linea_LÍNEA A,linea_LÍNEA B,linea_LÍNEA H,linea_LÍNEA J,linea_LÍNEA K,linea_LÍNEA L,linea_LÍNEA M,linea_LÍNEA O,linea_LÍNEA P,linea_LÍNEA T-A,lag_1,lag_1_missing,promedio_dia_anterior,misma_hora_semana_anterior
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15643449501501555,0,-0.011166297159534978,-0.008413758215752612
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04231559716675668,0,-0.011166297159534978,-0.11649866128150271
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14133555120933436,0,-0.011166297159534978,-0.18014978952153993
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.18364223239350946,0,-0.011166297159534978,-0.2995210747512583
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.321012127653397,0,-0.011166297159534978,-0.4137067249326669
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4178000745351788,1,-0.003216307963702629,-0.1799464312843513
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.21610779109599396,0,-0.003216307963702629,0.24822433711628245
0.5203559449484421,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08511172074049493,0,-0.003216307963702629,0.41019917303701614
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.29461602924246516,0,-0.003216307963702629,0.35295382926842034
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.22014815396864135,0,-0.003216307963702629,0.09529894275044222
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04087739700835982,0,-0.003216307963702629,0.03652841220293181
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.011354029563287989,0,-0.003216307963702629,-0.021733722751607044
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04089522897352298,0,-0.003216307963702629,0.011617028147326194
0.5203559449484421,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.03927195103839876,0,-0.003216307963702629,0.04974669762019194
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04779416019780094,0,-0.003216307963702629,0.047103040536739915
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04556215303700513,0,-0.003216307963702629,0.07608158933611789
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.029108631978709193,0,-0.003216307963702629,0.10150136898469506
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06380619784198949,0,-0.003216307963702629,0.26256109283808
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.20432119410118016,0,-0.003216307963702629,0.3944389096548983
0.5203559449484421,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2948189389843557,0,-0.003216307963702629,0.1973847778191281
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1531879391447671,0,-0.003216307963702629,-0.008413758215752612
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.008919112660601653,0,-0.003216307963702629,-0.11649866128150271
0.5203559449484421,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1209431221493363,0,-0.003216307963702629,-0.18014978952153993
